,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,Puma,Petrol,1.0L,Manual,"3,053 miles",5,123 bhp,2020 (20),50.4,Hatchback,99 g/km,BLACK,"£23,800"
1,Kuga,Diesel,2.0L,Manual,"21,304 miles",5,148 bhp,2018 (68),39.2,Hatchback,144 g/km,GREY,"£22,400"
2,Puma,Petrol,1.0L,Manual,"12,655 miles",5,123 bhp,2020 (69),50.4,Hatchback,99 g/km,BLUE,"£22,400"
3,Kuga,Diesel,2.0L,Manual,"34,250 miles",5,177 bhp,2018 (18),54.3,Hatchback,135 g/km,DEEP IMPACT BLUE,"£22,000"
4,Focus,Petrol,1.0L,Manual,"3,848 miles",5,123 bhp,2020 (20),45.6,Hatchback,110 g/km,FROZEN WHITE,"£21,500"
5,Focus,Petrol,1.5L,Automatic,"18,478 miles",5,180 bhp,2020 (20),39.8,Hatchback,137 g/km,RACE RED,"£21,400"
6,Fiesta,Petrol,1.5L,Manual,"10,909 miles",5,197 bhp,2019 (68),40.4,Hatchback,136 g/km, Performance Blue,"£21,200"
7,Kuga Vignale,Diesel,2.0L,Manual,"52,165 miles",5,148 bhp,2018 (68),38.2,Hatchback,151 g/km,BLACK,"£21,100"
8,Focus,Diesel,1.5L,Automatic,"10,232 miles",5,118 bhp,2020 (20),53.3,Hatchback,113 g/km,RED,"£21,000"
9,Focus,Petrol,1.0L,Manual,"11,005 miles",5,123 bhp,2020 (20),45.6,Hatchback,110 g/km,GREY,"£20,900"
10,Kuga,Diesel,1.5L,Automatic,"18,444 miles",5,118 bhp,2018 (18),58.9,Hatchback,124 g/km,FROZEN WHITE,"£20,600"
11,Kuga,Diesel,1.5L,Automatic,"24,740 miles",5,118 bhp,2018 (18),58.9,Hatchback,124 g/km,BLUE,"£20,500"
12,Kuga,Diesel,1.5L,Manual,"21,786 miles",5,118 bhp,2019 (68),45.6,Hatchback,137 g/km,GREY,"£20,200"
13,Kuga Vignale,Diesel,2.0L,Manual,"41,737 miles",5,177 bhp,2017 (17),54.3,Hatchback,135 g/km,MAGNETIC GREY,"£20,000"
14,Ecosport,Petrol,1.0L,Manual,"4,943 miles",5,138 bhp,2020 (70),47.1,Hatchback,113 g/km,Metropolis White,"£20,000"
15,Mondeo Vignale,Hybrid Petrol,2.0L,Automatic,"30,251 miles",4,,2018 (68),,Saloon,108 g/km,SILVER,"£19,700"
16,Focus,Petrol,1.0L,Manual,458 miles,5,123 bhp,2020 (70),55.4,Hatchback,94 g/km,SILVER,"£19,600"
17,Fiesta,Petrol,1.5L,Manual,"14,829 miles",3,197 bhp,2020 (20),47.1,Hatchback,136 g/km,FROZEN WHITE,"£19,500"
18,Kuga,Diesel,2.0L,Manual,"54,999 miles",5,148 bhp,2018 (67),60.1,Hatchback,122 g/km,MAGNETIC GREY,"£19,400"
19,Kuga,Diesel,1.5L,Automatic,"38,175 miles",5,118 bhp,2017 (67),58.9,Hatchback,124 g/km,SHADOW BLACK ,"£19,400"
20,Focus,Petrol,2.0L,Manual,"26,652 miles",5,247 bhp,2017 (17),41.5,Hatchback,159 g/km,RACE RED,"£19,100"
21,Kuga,Diesel,1.5L,Automatic,"42,921 miles",5,118 bhp,2018 (18),58.9,Hatchback,124 g/km,BLACK,"£19,000"
